 	Mean1	Mean2	Mean3
682	741.057	996.089	804.591
683	747.857	1017.200	834.523
684	788.943	1063.800	874.432
685	770.714	1045.356	870.045
686	772.914	1050.178	891.455
687	778.400	1080.511	913.614
688	856.429	1095.733	954.477
689	880.571	1173.200	994.023
690	857.771	1166.689	970.091
691	901.857	1200.844	980.432
692	925.686	1195	958.136
693	932.029	1218.356	982.023
694	911.629	1185.689	964.250
695	915.743	1245.756	973.659
696	902.600	1214.756	965.864
697	919.486	1267.756	996.864
698	936.200	1261.844	1018.864
699	962.229	1300.022	1052.250
700	913.857	1231.044	991.705
701	851.486	1188.800	930.818
702	791.457	1146.800	927.364
703	739.200	1051.778	824.568
704	732.657	1023.889	826.455
705	730.943	1018.867	837.477
706	733.857	1054.644	875.136
707	769.686	1074.533	930.250
708	799.971	1108.200	980.091
709	797.743	1121.156	938.682
710	783.057	1080.378	888.705
711	789.171	1075.978	858.841
712	808.114	1092.489	855.432
713	833.343	1078.733	846.136
714	966.429	1170.244	912.795
715	1159.171	1312.778	1055.977
716	1216.914	1346.578	1099.932
717	1210.143	1366.511	1106.682
718	1141.429	1362.444	1055.636
719	1087.857	1344.244	998.727
720	1104.400	1346.089	1014.591
721	1182.457	1538.422	1151.773
722	1235.857	1537.156	1162.659
723	1252.257	1714.644	1197.159
724	1466.314	1807.289	1283.568
725	1530.229	1822.889	1367.136
726	1621.771	1943.511	1479.023
727	1616.400	1889.156	1526.682
728	1470.971	2151.289	1382.091
729	1466.629	2053.556	1426.227
730	1667.314	1877.156	1568.932
731	1708.286	1816.644	1648.205
732	1630.057	1722.222	1484.500
733	1565.114	1587.756	1409.091
734	1443.143	1593.844	1329
735	1258.629	1608.733	1156.227
736	1125.571	1529.156	1082.977
737	1025.486	1398.133	1009.636
738	982.829	1407.800	945.841
739	939.343	1646.200	951.909
740	921.800	1692.689	957.273
741	897.714	1606.044	937.364
742	830.886	1477.533	885.227
743	809.171	1354.178	845
744	869.771	1329.600	868.727
745	1344.657	1501.289	1018.841
746	1460.971	1490.778	1012.614
747	1380.371	1442.733	970
748	1207.057	1313.444	900.136
749	1047.829	1224.311	802.659
750	1013.800	1214.200	828.864
751	955.971	1194.711	817.182
752	993.114	1190.111	852.523
753	1153.886	1236.689	910.477
754	1265.086	1242.133	946.773
755	1214.257	1233.889	933.091
756	1379.314	1218.622	927.795
757	1373.857	1215.267	916
758	1338	1160.022	883.523
759	1216	1147.844	864.932
760	1197.143	1108.956	839.568
761	1110.486	1051.356	820.295
762	1065.600	1060.311	824.091
763	1094.629	1042.778	814.591
764	1019.057	1044.400	777.841
765	958.486	1035.667	803.977
766	928.486	995.178	792.614
767	855.029	983.044	786.091
768	808.800	1055	886.614
769	830.257	1069.711	973.364
770	822.943	1081.844	997.705
771	781.286	1074.844	1014.636
772	778.286	1077.911	966.227
